Nr;Titel Original;Titel Deutsch;Jahr;Regissure;Hauptdarsteller;Produktionsland;IMDB-Top 250;IMDb-Charts;Studio;Genre;Einspielergebnise;YT-Link Englisch;YT-Link Deutsch;App-Link;App-Link_Video-1_DE;App-Link_Video-1_EN;App-Link_Video-2_DE;App-Link_Video-2_EN;App-Link_Video-3_DE;App-Link_Video-3_EN;QR-Cod Pfad
231;Kung Fu Panda 2;Kung Fu Panda 2;2011;Jennifer Yuh Nelson;Jack Black, Angelina Jolie, Dustin Hoffman, Gary Oldman, Jackie Chan;USA, Canada;Nein;7,3;DreamWorks Animation;Animation, Familie, Komedie;$665,692,281;https://www.youtube.com/watch?v=FQ63rqSRrEI;https://www.youtube.com/watch?v=hQOg-wElDIw;filmster://result?id=231;https://filmster.b-cdn.net/231/Filmster_231_DE_Video-1.mp4;https://filmster.b-cdn.net/231/Filmster_231_EN_Video-1.mp4;https://filmster.b-cdn.net/231/Filmster_231_DE_Video-2.mp4;https://filmster.b-cdn.net/231/Filmster_231_EN_Video-2.mp4;https://filmster.b-cdn.net/231/Filmster_231_DE_Video-3.mp4;https://filmster.b-cdn.net/231/Filmster_231_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_231_QR.png
232;Kung Fu Panda 3;Kung Fu Panda 3;2016;Jennifer Yuh Nelson;Jack Black, Bryan Cranston, Dustin Hoffman, Angelina Jolie, J.K. Simmons;USA, China;Nein;7,1;DreamWorks Animation;Animation, Action, Abenteuer, Komedie, Familie;$521,170,825;https://www.youtube.com/watch?v=10r9ozshGVE;https://www.youtube.com/watch?v=ZEd_BAX2EV8;filmster://result?id=232;https://filmster.b-cdn.net/232/Filmster_232_DE_Video-1.mp4;https://filmster.b-cdn.net/232/Filmster_232_EN_Video-1.mp4;https://filmster.b-cdn.net/232/Filmster_232_DE_Video-2.mp4;https://filmster.b-cdn.net/232/Filmster_232_EN_Video-2.mp4;https://filmster.b-cdn.net/232/Filmster_232_DE_Video-3.mp4;https://filmster.b-cdn.net/232/Filmster_232_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_232_QR.png
233;The Secret Life of Pets 2;Pets 2;2019;Chris Renaud;Patton Oswalt, Kevin Hart, Eric Stonestreet, Jenny Slate, Tiffany Haddish;Japan, USA;Nein;6,4;Universal Pictures;Familie, Komedie, Abenteuer, Animation;$429,434,163;https://www.youtube.com/watch?v=mYocfuqu2A8;https://www.youtube.com/watch?v=F9V0rcIS8oo;filmster://result?id=233;https://filmster.b-cdn.net/233/Filmster_233_DE_Video-1.mp4;https://filmster.b-cdn.net/233/Filmster_233_EN_Video-1.mp4;https://filmster.b-cdn.net/233/Filmster_233_DE_Video-2.mp4;https://filmster.b-cdn.net/233/Filmster_233_EN_Video-2.mp4;https://filmster.b-cdn.net/233/Filmster_233_DE_Video-3.mp4;https://filmster.b-cdn.net/233/Filmster_233_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_233_QR.png
234;Sing;Sing;2016;Garth Jennings;Matthew McConaughey, Reese Witherspoon, Seth MacFarlane, Scarlett Johansson, John C. Reilly;Japan, USA;Nein;7,1;Illumination;Familie, Komedie, Musik, Animation;$634,151,679;https://www.youtube.com/watch?v=9qPgK_u4vX8;https://www.youtube.com/watch?v=lABmJRCs4YU;filmster://result?id=234;https://filmster.b-cdn.net/234/Filmster_234_DE_Video-1.mp4;https://filmster.b-cdn.net/234/Filmster_234_EN_Video-1.mp4;https://filmster.b-cdn.net/234/Filmster_234_DE_Video-2.mp4;https://filmster.b-cdn.net/234/Filmster_234_EN_Video-2.mp4;https://filmster.b-cdn.net/234/Filmster_234_DE_Video-3.mp4;https://filmster.b-cdn.net/234/Filmster_234_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_234_QR.png
235;Sing 2;Sing - Die Show deines Lebens;2021;Garth Jennings;Matthew McConaughey, Reese Witherspoon, Scarlett Johansson, Taron Egerton, Bobby Cannavale;Japan, USA;Nein;7,3;Universal Pictures;Familie, Komedie, Musik, Animation;$408,402,685;https://www.youtube.com/watch?v=EPZu5MA2uqI;https://www.youtube.com/watch?v=F1J_MY0m6q4;filmster://result?id=235;https://filmster.b-cdn.net/235/Filmster_235_DE_Video-1.mp4;https://filmster.b-cdn.net/235/Filmster_235_EN_Video-1.mp4;https://filmster.b-cdn.net/235/Filmster_235_DE_Video-2.mp4;https://filmster.b-cdn.net/235/Filmster_235_EN_Video-2.mp4;https://filmster.b-cdn.net/235/Filmster_235_DE_Video-3.mp4;https://filmster.b-cdn.net/235/Filmster_235_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_235_QR.png
236;How to Train Your Dragon;Drachenzähmen leicht gemacht;2010;Chris Sanders;Jay Baruchel, Gerard Butler, Craig Ferguson, America Ferrera, Jonah Hill;USA, France, UK;Ja;8,1;DreamWorks Animation;Fantasy, Abenteuer, Animation, Familie;$495,141,736;https://www.youtube.com/watch?v=2AKsAxrhqgM;https://www.youtube.com/watch?v=MR6elW1Dg3U;filmster://result?id=236;https://filmster.b-cdn.net/236/Filmster_236_DE_Video-1.mp4;https://filmster.b-cdn.net/236/Filmster_236_EN_Video-1.mp4;https://filmster.b-cdn.net/236/Filmster_236_DE_Video-2.mp4;https://filmster.b-cdn.net/236/Filmster_236_EN_Video-2.mp4;https://filmster.b-cdn.net/236/Filmster_236_DE_Video-3.mp4;https://filmster.b-cdn.net/236/Filmster_236_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_236_QR.png
237;How to Train Your Dragon 2;Drachenzähmen leicht gemacht 2;2014;Dean DeBlois;Jay Baruchel, Cate Blanchett, Gerard Butler, Craig Ferguson, America Ferrera;USA, India;Nein;7,8;DreamWorks Animation;Fantasy, Action, Abenteuer, Animation, Komedie, Familie;$621,537,519;https://www.youtube.com/watch?v=2BP38770KNo;https://www.youtube.com/watch?v=ee-TY7xLVrA;filmster://result?id=237;https://filmster.b-cdn.net/237/Filmster_237_DE_Video-1.mp4;https://filmster.b-cdn.net/237/Filmster_237_EN_Video-1.mp4;https://filmster.b-cdn.net/237/Filmster_237_DE_Video-2.mp4;https://filmster.b-cdn.net/237/Filmster_237_EN_Video-2.mp4;https://filmster.b-cdn.net/237/Filmster_237_DE_Video-3.mp4;https://filmster.b-cdn.net/237/Filmster_237_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_237_QR.png
238;How to Train Your Dragon: The Hidden World;Drachenzähmen leicht gemacht 3: Die geheime Welt;2019;Dean DeBlois;Jay Baruchel, America Ferrera, F. Murray Abraham, Cate Blanchett, Gerard Butler;USA, Japan;Nein;7,4;DreamWorks Animation;Animation, Familie, Abenteuer;$539,987,993;https://www.youtube.com/watch?v=SkcucKDrbOI;https://www.youtube.com/watch?v=HLoBQ9Fn_iw;filmster://result?id=238;https://filmster.b-cdn.net/238/Filmster_238_DE_Video-1.mp4;https://filmster.b-cdn.net/238/Filmster_238_EN_Video-1.mp4;https://filmster.b-cdn.net/238/Filmster_238_DE_Video-2.mp4;https://filmster.b-cdn.net/238/Filmster_238_EN_Video-2.mp4;https://filmster.b-cdn.net/238/Filmster_238_DE_Video-3.mp4;https://filmster.b-cdn.net/238/Filmster_238_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_238_QR.png
239;Mary Poppins Returns;Mary Poppins‘ Rückkehr;2018;Rob Marshall;Emily Blunt, Lin-Manuel Miranda, Ben Whishaw, Emily Mortimer, Pixie Davies;USA, UK, Denmark, Australia, Canada, India;Nein;6,7;Walt Disney Pictures;Fantasy, Familie, Komedie;$348,807,090;https://www.youtube.com/watch?v=gZgUW88D15w;https://www.youtube.com/watch?v=UfXj-dZ82GM;filmster://result?id=239;https://filmster.b-cdn.net/239/Filmster_239_DE_Video-1.mp4;https://filmster.b-cdn.net/239/Filmster_239_EN_Video-1.mp4;https://filmster.b-cdn.net/239/Filmster_239_DE_Video-2.mp4;https://filmster.b-cdn.net/239/Filmster_239_EN_Video-2.mp4;https://filmster.b-cdn.net/239/Filmster_239_DE_Video-3.mp4;https://filmster.b-cdn.net/239/Filmster_239_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_239_QR.png
240;Paddington;Paddington;2014;Paul King;Ben Whishaw, Hugh Bonneville, Sally Hawkins, Madeleine Harris, Samuel Joslin;UK, France, Costa Rica;Nein;7,3;StudioCanal;Komedie, Abenteuer, Familie;$326,088,587;https://www.youtube.com/watch?v=W5tUEw4Nq4E;https://www.youtube.com/watch?v=58Xr_7iBnKA;filmster://result?id=240;https://filmster.b-cdn.net/240/Filmster_240_DE_Video-1.mp4;https://filmster.b-cdn.net/240/Filmster_240_EN_Video-1.mp4;https://filmster.b-cdn.net/240/Filmster_240_DE_Video-2.mp4;https://filmster.b-cdn.net/240/Filmster_240_EN_Video-2.mp4;https://filmster.b-cdn.net/240/Filmster_240_DE_Video-3.mp4;https://filmster.b-cdn.net/240/Filmster_240_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_240_QR.png
241;Paddington 2;Paddington 2;2017;Paul King;Ben Whishaw, Sally Hawkins, Hugh Bonneville, Madeleine Harris, Samuel Joslin;France, UK;Nein;7,8;StudioCanal;Abenteuer, Komedie, Familie;$290,132,513;https://www.youtube.com/watch?v=52x5HJ9H8DM;https://www.youtube.com/watch?v=f0xxLnx9XmA;filmster://result?id=241;https://filmster.b-cdn.net/241/Filmster_241_DE_Video-1.mp4;https://filmster.b-cdn.net/241/Filmster_241_EN_Video-1.mp4;https://filmster.b-cdn.net/241/Filmster_241_DE_Video-2.mp4;https://filmster.b-cdn.net/241/Filmster_241_EN_Video-2.mp4;https://filmster.b-cdn.net/241/Filmster_241_DE_Video-3.mp4;https://filmster.b-cdn.net/241/Filmster_241_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_241_QR.png
242;Stuart Little;Stuart Little;1999;Rob Minkoff;Michael J. Fox, Chazz Palminteri, Nathan Lane, Geena Davis, Hugh Laurie;Germany, USA;Nein;6;Franklin/Waterman Productions;Familie, Fantasy, Komedie, Abenteuer;$300,135,367;https://www.youtube.com/watch?v=Wlo-sYrADlw;https://www.youtube.com/watch?v=cSKUDnpBJ2Y;filmster://result?id=242;https://filmster.b-cdn.net/242/Filmster_242_DE_Video-1.mp4;https://filmster.b-cdn.net/242/Filmster_242_EN_Video-1.mp4;https://filmster.b-cdn.net/242/Filmster_242_DE_Video-2.mp4;https://filmster.b-cdn.net/242/Filmster_242_EN_Video-2.mp4;https://filmster.b-cdn.net/242/Filmster_242_DE_Video-3.mp4;https://filmster.b-cdn.net/242/Filmster_242_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_242_QR.png
243;Night at the Museum;Nachts im Museum;2006;Shawn Levy;Ben Stiller, Carla Gugino, Dick Van Dyke, Mickey Rooney, Bill Cobbs;USA, UK;Nein;6,5;1492 Pictures;Action, Abenteuer, Komedie, Familie, Fantasy;$574,480,841;https://www.youtube.com/watch?v=Ltba1_-tRT4;https://www.youtube.com/watch?v=bIvDDNGRrV4;filmster://result?id=243;https://filmster.b-cdn.net/243/Filmster_243_DE_Video-1.mp4;https://filmster.b-cdn.net/243/Filmster_243_EN_Video-1.mp4;https://filmster.b-cdn.net/243/Filmster_243_DE_Video-2.mp4;https://filmster.b-cdn.net/243/Filmster_243_EN_Video-2.mp4;https://filmster.b-cdn.net/243/Filmster_243_DE_Video-3.mp4;https://filmster.b-cdn.net/243/Filmster_243_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_243_QR.png
244;Night at the Museum: Battle of the Smithsonian;Nachts im Museum 2;2009;Shawn Levy;Ben Stiller, Amy Adams, Owen Wilson, Hank Azaria, Robin Williams;USA, Canada;Nein;6;21 Laps Entertainment;Abenteuer, Fantasy, Action, Komedie, Familie;$413,106,170;https://www.youtube.com/watch?v=lPLY8O1y0qA;https://www.youtube.com/watch?v=5GQlmXwX5-8;filmster://result?id=244;https://filmster.b-cdn.net/244/Filmster_244_DE_Video-1.mp4;https://filmster.b-cdn.net/244/Filmster_244_EN_Video-1.mp4;https://filmster.b-cdn.net/244/Filmster_244_DE_Video-2.mp4;https://filmster.b-cdn.net/244/Filmster_244_EN_Video-2.mp4;https://filmster.b-cdn.net/244/Filmster_244_DE_Video-3.mp4;https://filmster.b-cdn.net/244/Filmster_244_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_244_QR.png
245;Nanny McPhee;Eine zauberhafte Nanny;2005;Kirk Jones;Emma Thompson, Colin Firth, Kelly Macdonald, Thomas Brodie-Sangster, Eliza Bennett;UK, France, USA;Nein;6,6;Metro-Goldwyn-Mayer;Fantasy, Komedie, Familie;$123,276,807;https://www.youtube.com/watch?v=4iCRftNMwC4;https://www.youtube.com/watch?v=r00DShttt1Y;filmster://result?id=245;https://filmster.b-cdn.net/245/Filmster_245_DE_Video-1.mp4;https://filmster.b-cdn.net/245/Filmster_245_EN_Video-1.mp4;https://filmster.b-cdn.net/245/Filmster_245_DE_Video-2.mp4;https://filmster.b-cdn.net/245/Filmster_245_EN_Video-2.mp4;https://filmster.b-cdn.net/245/Filmster_245_DE_Video-3.mp4;https://filmster.b-cdn.net/245/Filmster_245_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_245_QR.png
246;The Chronicles of Narnia: The Lion, the Witch and the Wardrobe;Die Chroniken von Narnia: Der König von Narnia;2005;Andrew Adamson;William Moseley, Anna Popplewell, Skandar Keynes, Georgie Henley, Liam Neeson;UK, USA;Nein;6,9;Walt Disney Pictures;Abenteuer, Familie, Fantasy;$745,013,115;https://www.youtube.com/watch?v=usEkWtuNn-w;https://www.youtube.com/watch?v=3atSM0ZbwKo;filmster://result?id=246;https://filmster.b-cdn.net/246/Filmster_246_DE_Video-1.mp4;https://filmster.b-cdn.net/246/Filmster_246_EN_Video-1.mp4;https://filmster.b-cdn.net/246/Filmster_246_DE_Video-2.mp4;https://filmster.b-cdn.net/246/Filmster_246_EN_Video-2.mp4;https://filmster.b-cdn.net/246/Filmster_246_DE_Video-3.mp4;https://filmster.b-cdn.net/246/Filmster_246_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_246_QR.png
247;The Princess Diaries;Plötzlich Prinzessin;2001;Garry Marshall;Anne Hathaway, Julie Andrews, Heather Matarazzo, Caroline Goodall, Héctor Elizondo;USA, UK;Nein;6,4;Bottom of the Ninth Productions;Komedie, Familie, Liebesfilm;$165,335,153;https://www.youtube.com/watch?v=CzcGwB7qat8;https://www.youtube.com/watch?v=itjg48fztYo;filmster://result?id=247;https://filmster.b-cdn.net/247/Filmster_247_DE_Video-1.mp4;https://filmster.b-cdn.net/247/Filmster_247_EN_Video-1.mp4;https://filmster.b-cdn.net/247/Filmster_247_DE_Video-2.mp4;https://filmster.b-cdn.net/247/Filmster_247_EN_Video-2.mp4;https://filmster.b-cdn.net/247/Filmster_247_DE_Video-3.mp4;https://filmster.b-cdn.net/247/Filmster_247_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_247_QR.png
248;Bridge to Terabithia;Brücke nach Terabithia;2007;Gábor Csupó;Josh Hutcherson, AnnaSophia Robb, Zooey Deschanel, Robert Patrick, Bailee Madison;USA, New Zealand;Nein;7,2;Lauren Levine Productions Inc.;Abenteuer, Drama, Familie;$137,587,063;https://www.youtube.com/watch?v=_DSGAeeDXO0;https://www.youtube.com/watch?v=rRdMj5K7jds;filmster://result?id=248;https://filmster.b-cdn.net/248/Filmster_248_DE_Video-1.mp4;https://filmster.b-cdn.net/248/Filmster_248_EN_Video-1.mp4;https://filmster.b-cdn.net/248/Filmster_248_DE_Video-2.mp4;https://filmster.b-cdn.net/248/Filmster_248_EN_Video-2.mp4;https://filmster.b-cdn.net/248/Filmster_248_DE_Video-3.mp4;https://filmster.b-cdn.net/248/Filmster_248_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_248_QR.png
249;Matilda;Matilda;1996;Danny DeVito;Mara Wilson, Danny DeVito, Rhea Perlman, Embeth Davidtz, Pam Ferris;USA;Nein;7;Jersey Films;Komedie, Familie, Fantasy;$33,500,000;https://www.youtube.com/watch?v=1UigDLytK5A;https://www.youtube.com/watch?v=nGHY-D_a71g;filmster://result?id=249;https://filmster.b-cdn.net/249/Filmster_249_DE_Video-1.mp4;https://filmster.b-cdn.net/249/Filmster_249_EN_Video-1.mp4;https://filmster.b-cdn.net/249/Filmster_249_DE_Video-2.mp4;https://filmster.b-cdn.net/249/Filmster_249_EN_Video-2.mp4;https://filmster.b-cdn.net/249/Filmster_249_DE_Video-3.mp4;https://filmster.b-cdn.net/249/Filmster_249_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_249_QR.png
250;The Parent Trap;Ein Zwilling kommt selten allein;1998;Nancy Meyers;Lindsay Lohan, Dennis Quaid, Natasha Richardson, Elaine Hendrix, Lisa Ann Walter;USA, UK;Nein;6,7;Walt Disney Pictures;Komedie, Familie, Liebesfilm;$92,108,518;https://www.youtube.com/watch?v=PMAhVpgzmRU;https://www.youtube.com/watch?v=PMAhVpgzmRU;filmster://result?id=250;https://filmster.b-cdn.net/250/Filmster_250_DE_Video-1.mp4;https://filmster.b-cdn.net/250/Filmster_250_EN_Video-1.mp4;https://filmster.b-cdn.net/250/Filmster_250_DE_Video-2.mp4;https://filmster.b-cdn.net/250/Filmster_250_EN_Video-2.mp4;https://filmster.b-cdn.net/250/Filmster_250_DE_Video-3.mp4;https://filmster.b-cdn.net/250/Filmster_250_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_250_QR.png
251;Cheaper by the Dozen;Im Dutzend billiger;2003;Shawn Levy;Steve Martin, Bonnie Hunt, Piper Perabo, Tom Welling, Hilary Duff;USA;Nein;5,9;20th Century Fox;Komedie, Familie, Drama;$190,212,113;https://www.youtube.com/watch?v=2LwjwECAGhw;https://www.youtube.com/watch?v=lvYAkJfCrZw;filmster://result?id=251;https://filmster.b-cdn.net/251/Filmster_251_DE_Video-1.mp4;https://filmster.b-cdn.net/251/Filmster_251_EN_Video-1.mp4;https://filmster.b-cdn.net/251/Filmster_251_DE_Video-2.mp4;https://filmster.b-cdn.net/251/Filmster_251_EN_Video-2.mp4;;https://filmster.b-cdn.net/251/Filmster_251_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_251_QR.png
252;The Sound of Music;Meine Lieder, meine Träume;1965;Robert Wise;Julie Andrews, Christopher Plummer, Eleanor Parker, Richard Haydn, Peggy Wood;USA;Ja;8,1;Robert Wise Productions;Drama, Familie, Musik, Liebesfilm;$286,214,286;https://www.youtube.com/watch?v=aMMgcAqOYbI;https://www.youtube.com/watch?v=d72u4EkP6J0;filmster://result?id=252;https://filmster.b-cdn.net/252/Filmster_252_DE_Video-1.mp4;https://filmster.b-cdn.net/252/Filmster_252_EN_Video-1.mp4;;https://filmster.b-cdn.net/252/Filmster_252_EN_Video-2.mp4;;https://filmster.b-cdn.net/252/Filmster_252_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_252_QR.png
253;Enchanted;Verwünscht;2007;Kevin Lima;Amy Adams, Patrick Dempsey, James Marsden, Timothy Spall, Idina Menzel;USA, Algeria, New Zealand;Nein;7,1;Walt Disney Pictures;Komedie, Familie, Fantasy, Liebesfilm;$340,487,652;https://www.youtube.com/watch?v=IJwUFq8uOr0;https://www.youtube.com/watch?v=2We6oXBWApA;filmster://result?id=253;https://filmster.b-cdn.net/253/Filmster_253_DE_Video-1.mp4;https://filmster.b-cdn.net/253/Filmster_253_EN_Video-1.mp4;https://filmster.b-cdn.net/253/Filmster_253_DE_Video-2.mp4;https://filmster.b-cdn.net/253/Filmster_253_EN_Video-2.mp4;https://filmster.b-cdn.net/253/Filmster_253_DE_Video-3.mp4;https://filmster.b-cdn.net/253/Filmster_253_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_253_QR.png
254;Christopher Robin;Goodbye Christopher Robin;2018;Marc Forster;Ewan McGregor, Hayley Atwell, Bronte Carmichael, Jim Cummings, Brad Garrett;UK, USA, Australia, Canada, Denmark;Nein;7,2;Walt Disney Pictures;Abenteuer, Komedie, Familie, Fantasy;$99,138,899;https://www.youtube.com/watch?v=xEJolVK1hVU;https://www.youtube.com/watch?v=leDekgO1yEc;filmster://result?id=254;https://filmster.b-cdn.net/254/Filmster_254_DE_Video-1.mp4;https://filmster.b-cdn.net/254/Filmster_254_EN_Video-1.mp4;https://filmster.b-cdn.net/254/Filmster_254_DE_Video-2.mp4;https://filmster.b-cdn.net/254/Filmster_254_EN_Video-2.mp4;https://filmster.b-cdn.net/254/Filmster_254_DE_Video-3.mp4;https://filmster.b-cdn.net/254/Filmster_254_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_254_QR.png
255;Hook;Hook;1991;Steven Spielberg;Dustin Hoffman, Robin Williams, Julia Roberts, Bob Hoskins, Maggie Smith;USA;Nein;6,8;Amblin Entertainment;Abenteuer, Fantasy, Komedie, Familie;$300,854,823;https://www.youtube.com/watch?v=c-vwgt8cwEM;https://www.youtube.com/watch?v=c-vwgt8cwEM;filmster://result?id=255;https://filmster.b-cdn.net/255/Filmster_255_DE_Video-1.mp4;https://filmster.b-cdn.net/255/Filmster_255_EN_Video-1.mp4;https://filmster.b-cdn.net/255/Filmster_255_DE_Video-2.mp4;https://filmster.b-cdn.net/255/Filmster_255_EN_Video-2.mp4;https://filmster.b-cdn.net/255/Filmster_255_DE_Video-3.mp4;https://filmster.b-cdn.net/255/Filmster_255_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_255_QR.png
256;The Secret Garden;Der geheime Garten;1993;Agnieszka Holland;Kate Maberly, Heydon Prowse, Andrew Knott, Maggie Smith, Irène Jacob;USA;Nein;7,3;Warner Bros. Pictures;Drama, Familie, Fantasy;$40,000,000;https://www.youtube.com/watch?v=1zeqqhA5Z3A;https://www.youtube.com/watch?v=-iKmnWAWFqA;filmster://result?id=256;https://filmster.b-cdn.net/256/Filmster_256_DE_Video-1.mp4;https://filmster.b-cdn.net/256/Filmster_256_EN_Video-1.mp4;https://filmster.b-cdn.net/256/Filmster_256_DE_Video-2.mp4;https://filmster.b-cdn.net/256/Filmster_256_EN_Video-2.mp4;https://filmster.b-cdn.net/256/Filmster_256_DE_Video-3.mp4;https://filmster.b-cdn.net/256/Filmster_256_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_256_QR.png
257;Charlotte's Web;Schweinchen Wilbur und seine Freunde;2006;Gary Winick;Dakota Fanning, Julia Roberts, Steve Buscemi, John Cleese, Oprah Winfrey;USA, Germany, Australia;Nein;6,3;Paramount Pictures;Komedie, Familie, Fantasy;$148,964,660;https://www.youtube.com/watch?v=YSC7NrzDt24;https://www.youtube.com/watch?v=4Rr3zlredBQ;filmster://result?id=257;https://filmster.b-cdn.net/257/Filmster_257_DE_Video-1.mp4;https://filmster.b-cdn.net/257/Filmster_257_EN_Video-1.mp4;https://filmster.b-cdn.net/257/Filmster_257_DE_Video-2.mp4;https://filmster.b-cdn.net/257/Filmster_257_EN_Video-2.mp4;https://filmster.b-cdn.net/257/Filmster_257_DE_Video-3.mp4;https://filmster.b-cdn.net/257/Filmster_257_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_257_QR.png
258;A Series of Unfortunate Events;Lemony Snicket - Rätselhafte Ereignisse;2004;Brad Silberling;Emily Browning, Liam Aiken, Kara Hoffman, Shelby Hoffman, Jim Carrey;USA, Germany;Nein;6,8;Paramount Pictures;Abenteuer, Komedie, Familie;$209,073,645;https://www.youtube.com/watch?v=4ErlhM1NaZA;https://www.youtube.com/watch?v=6MYPCHco6TE;filmster://result?id=258;https://filmster.b-cdn.net/258/Filmster_258_DE_Video-1.mp4;https://filmster.b-cdn.net/258/Filmster_258_EN_Video-1.mp4;https://filmster.b-cdn.net/258/Filmster_258_DE_Video-2.mp4;https://filmster.b-cdn.net/258/Filmster_258_EN_Video-2.mp4;https://filmster.b-cdn.net/258/Filmster_258_DE_Video-3.mp4;https://filmster.b-cdn.net/258/Filmster_258_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_258_QR.png
259;Babe;Ein Schweinchen namens Babe;1995;Chris Noonan;Christine Cavanaugh, Miriam Margolyes, Danny Mann, Hugo Weaving, Miriam Flynn;Australia, USA, UK;Nein;6,9;Universal Pictures;Fantasy, Drama, Komedie, Familie;$254,100,000;https://www.youtube.com/watch?v=yuzXPzgBDvo;https://www.youtube.com/watch?v=stqWWpwvrAo;filmster://result?id=259;https://filmster.b-cdn.net/259/Filmster_259_DE_Video-1.mp4;https://filmster.b-cdn.net/259/Filmster_259_EN_Video-1.mp4;https://filmster.b-cdn.net/259/Filmster_259_DE_Video-2.mp4;https://filmster.b-cdn.net/259/Filmster_259_EN_Video-2.mp4;https://filmster.b-cdn.net/259/Filmster_259_DE_Video-3.mp4;https://filmster.b-cdn.net/259/Filmster_259_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_259_QR.png
260;The Peanuts Movie;Die Peanuts - Der Film;2015;Steve Martino;Noah Schnapp, Bill Melendez, Marleik 'Mar Mar' Walker, Alex Garfin, Hadley Belle Miller;USA;Nein;7;Blue Sky Studios;Komedie, Animation, Familie;$246,233,113;https://www.youtube.com/watch?v=zQpUQPrAfQM;https://www.youtube.com/watch?v=avClOWjHqXM;filmster://result?id=260;https://filmster.b-cdn.net/260/Filmster_260_DE_Video-1.mp4;https://filmster.b-cdn.net/260/Filmster_260_EN_Video-1.mp4;https://filmster.b-cdn.net/260/Filmster_260_DE_Video-2.mp4;https://filmster.b-cdn.net/260/Filmster_260_EN_Video-2.mp4;https://filmster.b-cdn.net/260/Filmster_260_DE_Video-3.mp4;https://filmster.b-cdn.net/260/Filmster_260_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_260_QR.png
